CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;0,000000;5,161460;94,838540;2993;5;51;16;0
0;72,138260;27,861740;0,000000;2994;5;51;2;0
0;0,000000;100,000000;0,000000;2995;5;51;10;0
0;100,000000;0,000000;0,000000;2996;5;51;1;0
0;0,000000;85,771060;14,228940;2997;2;29;10;0
0;0,000000;2,123750;97,876250;2998;5;52;16;0
0;0,000000;5,299840;94,700160;2999;2;29;16;0
0;0,000000;2,102890;97,897110;3000;5;51;16;0
0;8,324340;89,362710;2,312950;3001;5;51;10;0
0;0,000000;4,013610;95,986390;3002;2;29;16;0
0;2,884720;0,000000;97,115280;3003;5;53;16;0
0;0,000000;7,508620;92,491380;3004;5;53;16;0
0;0,000000;100,000000;0,000000;3005;5;51;10;0
0;29,778950;0,000000;70,221050;3006;5;53;9;0
0;100,000000;0,000000;0,000000;3007;5;53;1;0
0;91,382900;0,163180;8,453920;3008;5;53;1;0
0;100,000000;0,000000;0,000000;3009;5;53;1;0
0;100,000000;0,000000;0,000000;3010;5;53;1;0
0;0,000000;0,000000;100,000000;3011;5;53;16;0
0;53,722560;0,000000;46,277440;3012;5;53;4;0
0;73,713130;0,000000;26,286870;3013;5;53;4;0
0;100,000000;0,000000;0,000000;3014;5;53;1;0
0;100,000000;0,000000;0,000000;3015;5;53;1;0
0;100,000000;0,000000;0,000000;3016;5;53;1;0
0;100,000000;0,000000;0,000000;3017;5;53;1;0
0;100,000000;0,000000;0,000000;3018;5;53;1;0
0;100,000000;0,000000;0,000000;3019;5;53;1;0
0;100,000000;0,000000;0,000000;3020;5;53;1;0
0;100,000000;0,000000;0,000000;3021;5;53;1;0
0;100,000000;0,000000;0,000000;3022;5;53;1;0
0;100,000000;0,000000;0,000000;3023;5;53;1;0
0;100,000000;0,000000;0,000000;3024;5;53;1;0
0;100,000000;0,000000;0,000000;3025;5;53;1;0
0;100,000000;0,000000;0,000000;3026;5;53;1;0
0;0,000000;0,223510;99,776490;3027;5;53;16;0
0;100,000000;0,000000;0,000000;3028;5;53;1;0
0;100,000000;0,000000;0,000000;3029;5;53;1;0
0;98,960900;0,000000;1,039100;3030;5;53;1;0
0;2,500030;1,243880;96,256080;3031;5;53;16;0
0;0,000000;86,721630;13,278370;3032;2;29;10;0
0;100,000000;0,000000;0,000000;3033;5;53;1;0
0;100,000000;0,000000;0,000000;3034;5;53;1;0
0;100,000000;0,000000;0,000000;3035;5;53;1;0
0;31,507900;1,187610;67,304490;3036;5;53;9;0
0;0,088180;0,885550;99,026270;3037;5;52;16;0
0;0,000000;9,410370;90,589630;3038;5;51;16;0
0;29,482760;70,517240;0,000000;3039;3;31;5;0
0;100,000000;0,000000;0,000000;3040;3;31;1;0
0;100,000000;0,000000;0,000000;3041;5;50;1;0
0;0,000000;100,000000;0,000000;3042;3;35;10;0
0;0,000000;41,630470;58,369530;3043;3;32;14;0
0;16,562320;80,223440;3,214240;3044;3;31;10;0
0;0,000000;7,748220;92,251780;3045;3;31;16;0
0;0,000000;100,000000;0,000000;3046;3;35;10;0
0;0,000000;0,000000;100,000000;3047;3;31;16;0
0;0,000000;0,665120;99,334880;3048;3;32;16;0
0;0,000000;7,481560;92,518440;3049;5;51;16;0
0;0,000000;0,000000;100,000000;3050;2;29;16;0
0;0,000000;0,000000;100,000000;3051;5;51;16;0
0;0,000000;0,000000;100,000000;3052;5;52;16;0
0;81,730500;18,269500;0,000000;3053;5;51;1;0
0;73,814440;26,185560;0,000000;3054;5;51;2;0
0;0,000000;27,269840;72,730160;3055;2;29;14;0
0;0,000000;0,000000;100,000000;3056;2;29;16;0
0;0,000000;54,574710;45,425290;3057;2;29;12;0
0;0,000000;24,199200;75,800800;3058;2;29;16;0
0;0,000000;54,146140;45,853860;3059;2;29;12;0
0;0,000000;24,020100;75,979900;3060;2;29;16;0
0;0,000000;77,454310;22,545690;3061;2;29;10;0
0;0,000000;48,070860;51,929140;3062;2;29;14;0
0;0,000000;2,526500;97,473500;3063;2;29;16;0
0;55,526860;6,312320;38,160820;3064;5;51;4;0
0;0,000000;49,544860;50,455140;3065;5;51;14;0
0;0,000000;90,703080;9,296920;3066;2;29;10;0
0;0,000000;0,000000;100,000000;3067;5;51;16;0
0;0,000000;0,000000;100,000000;3068;5;51;16;0
0;0,000000;16,268630;83,731370;3069;2;29;16;0
0;0,000000;0,000000;100,000000;3070;1;11;16;0
0;0,000000;0,000000;100,000000;3071;5;51;16;0
0;0,000000;0,523840;99,476160;3072;1;11;16;0
0;0,000000;0,000000;100,000000;3073;5;51;16;0
0;0,000000;76,963450;23,036550;3074;2;29;10;0
0;0,000000;66,838340;33,161660;3075;2;29;12;0
0;0,000000;100,000000;0,000000;3076;2;29;10;0
0;0,000000;62,961030;37,038970;3077;2;29;12;0
0;0,000000;5,790780;94,209220;3078;5;51;16;0
0;96,464740;3,535260;0,000000;3079;5;51;1;0
0;0,000000;0,000000;100,000000;3080;5;51;16;0
0;64,760390;34,520660;0,718950;3081;5;51;2;0
0;0,000000;100,000000;0,000000;3082;2;29;10;0
0;4,791850;95,208150;0,000000;3083;5;51;10;0
0;0,000000;100,000000;0,000000;3084;2;29;10;0
0;0,000000;11,932040;88,067960;3085;2;29;16;0
0;100,000000;0,000000;0,000000;3086;5;51;1;0
0;42,265430;56,908050;0,826520;3087;5;51;5;0
0;0,000000;100,000000;0,000000;3088;2;29;10;0
0;100,000000;0,000000;0,000000;3089;2;29;1;0
0;100,000000;0,000000;0,000000;3090;2;29;1;0
0;0,000000;0,023310;99,976690;3091;2;29;16;0
0;0,000000;100,000000;0,000000;3092;2;29;10;0
0;0,000000;100,000000;0,000000;3093;2;29;10;0
0;4,690750;0,000000;95,309250;3094;5;51;16;0
